hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
Insiders                              2886667320           0.88815  0.53571  .60317427894435819919  30    56     29529  48956
BlackHistoryMonth                     614600545            1.15666  0.69767  .60317427894435819919  30    43     29529  48956
Weather                               29447428             0.69680  0.42029  .60317427894435819919  29    69     29529  48956
StopPutinNOW                          578601744            0.15763  0.09508  .60317427894435819919  29    305    29529  48956
WearAMask                             302984766            0.48356  0.29167  .60317427894435819919  28    96     29529  48956
WALES                                 4757894056           1.54736  0.93333  .60317427894435819919  28    30     29529  48956
USA                                   2530758806           0.11435  0.06897  .60317427894435819919  28    406    29529  48956
SuperBowl                             614600545            0.53358  0.32184  .60317427894435819919  28    87     29529  48956
SpeakOutAgainstWW3                    45379403             1.03158  0.62222  .60317427894435819919  28    45     29529  48956
NYCACC                                1060440219097423872  1.40669  0.84848  .60317427894435819919  28    33     29529  48956
NoWar                                 45379403             0.29196  0.17610  .60317427894435819919  28    159    29529  48956
Melitopol                             870244616003403781   0.91022  0.54902  .60317427894435819919  28    51     29529  48956
IDsILLEGAL                            1387010761994682371  1.65790  1.00000  .60317427894435819919  28    28     29529  48956
FluTruxKlan                           832019161454817280   0.91022  0.54902  .60317427894435819919  28    51     29529  48956
England                               4757894056           0.19182  0.11570  .60317427894435819919  28    242    29529  48956
DemVoice1                             826615125297680384   1.45066  0.87500  .60317427894435819919  28    32     29529  48956
CA                                    1060440219097423872  0.05634  0.03398  .60317427894435819919  28    824    29529  48956
AusVotes2022                          1496792408792903684  1.65790  1.00000  .60317427894435819919  28    28     29529  48956
Ableg                                 4213849704           1.60073  0.96552  .60317427894435819919  28    29     29529  48956
แตงโม                                 1264114113925402624  1.31657  0.79412  .60317427894435819919  27    34     29529  48956
war                                   45379403             0.01310  0.00790  .60317427894435819919  27    3416   29529  48956
RussiaInvadedUkraine                  870244616003403781   1.54355  0.93103  .60317427894435819919  27    29     29529  48956
onpoli                                302984766            0.18573  0.11203  .60317427894435819919  27    241    29529  48956
MedTwitter                            981436419087523840   1.35646  0.81818  .60317427894435819919  27    33     29529  48956
LongCovidKids                         578601744            0.44763  0.27000  .60317427894435819919  27    100    29529  48956
Irpin                                 870244616003403781   0.56662  0.34177  .60317427894435819919  27    79     29529  48956
France                                3040987923           0.28695  0.17308  .60317427894435819919  27    156    29529  48956
dogsoftwitter                         17531651             1.59869  0.96429  .60317427894435819919  27    28     29529  48956
Djokovic                              302984766            0.36392  0.21951  .60317427894435819919  27    123    29529  48956
CostOfLivingCrisis                    4757894056           1.49211  0.90000  .60317427894435819919  27    30     29529  48956
ClimateStrike                         832019161454817280   1.44398  0.87097  .60317427894435819919  27    31     29529  48956
Canada                                302984766            0.04577  0.02761  .60317427894435819919  27    978    29529  48956
Biden                                 45379403             0.07061  0.04259  .60317427894435819919  27    634    29529  48956
BBCPapers                             828578052942741505   1.65790  1.00000  .60317427894435819919  27    27     29529  48956
abc730                                2886667320           1.06579  0.64286  .60317427894435819919  27    42     29529  48956
Strongmen                             1060440219097423872  1.48639  0.89655  .60317427894435819919  26    29     29529  48956
PutinsWar                             302984766            0.62471  0.37681  .60317427894435819919  26    69     29529  48956
PutinHitler                           578601744            0.11682  0.07046  .60317427894435819919  26    369    29529  48956
Yemen                                 578601744            0.41036  0.24752  .60317427894435819919  25    101    29529  48956
Palestinian                           41186732             0.14097  0.08503  .60317427894435819919  25    294    29529  48956
MariettaGA                            1060440219097423872  1.65790  1.00000  .60317427894435819919  25    25     29529  48956
KyivDiary                             39508140             1.65790  1.00000  .60317427894435819919  25    25     29529  48956
Iran                                  3231054096           0.49342  0.29762  .60317427894435819919  25    84     29529  48956
FridaysForFuture                      832019161454817280   1.59413  0.96154  .60317427894435819919  25    26     29529  48956
EarthDay                              832019161454817280   1.12021  0.67568  .60317427894435819919  25    37     29529  48956
Donetsk                               1229752606714728454  0.67947  0.40984  .60317427894435819919  25    61     29529  48956
CobbCounty                            1060440219097423872  1.65790  1.00000  .60317427894435819919  25    25     29529  48956
Capitalism                            45379403             0.90103  0.54348  .60317427894435819919  25    46     29529  48956
dogs                                  1060440219097423872  0.28832  0.17391  .60317427894435819919  24    138    29529  48956
coronavirus                           711608180535640064   0.51012  0.30769  .60317427894435819919  24    78     29529  48956
Afghanistan                           2332033299           0.60288  0.36364  .60317427894435819919  24    66     29529  48956
SocialistSunday                       1387010761994682371  1.58881  0.95833  .60317427894435819919  23    24     29529  48956
protest                               832019161454817280   0.05640  0.03402  .60317427894435819919  23    676    29529  48956
PolicingBill                          711608180535640064   1.65790  1.00000  .60317427894435819919  23    23     29529  48956
partygate                             711608180535640064   0.59581  0.35938  .60317427894435819919  23    64     29529  48956
OpRussia                              870244616003403781   1.58881  0.95833  .60317427894435819919  23    24     29529  48956
NoWarWithRussia                       45379403             0.32591  0.19658  .60317427894435819919  23    117    29529  48956
